4.898440170288085938e+01,-5.796525478363037109e+00,Visible Systems v. Unisys (Trademark Infringement),2007,Unisys Corporation,Intellectual Property,Civil,Non-Governmental,None,Judgment Against Defendant
-1.240631580352783203e+01,-2.535664558410644531e+01,Construction Mismanagement on the Boston Central A,2008,Bechtel Corporation,Government Contract Fraud,Civil,Multiple Agencies,Multiple Agencies,Settlement
1.683543205261230469e+01,-3.175037956237792969e+01,UAW et. al. v. General Motors Corporation (Health ,2006,General Motors Corp.,Labor,Civil,Non-Governmental,None,Settlement
-6.181240081787109375e+00,1.639989471435546875e+01,Kashagan Oil Field Environmental Fine,2014,Exxon Mobil Royal Dutch Shell PLC,Environment,N/A,International,None,Fine
2.502903175354003906e+01,2.262391853332519531e+01,New York Contraband Cigarette Trafficking Lawsuit,2015,United Parcel Service Inc.,Tax,Civil,State/Local,None,Judgment Against Defendant
-1.246944141387939453e+01,-2.531963157653808594e+01,Violations of the False Claims Act (Department of ,2006,Honeywell International Inc.,Government Contract Fraud,Civil,Multiple Agencies,Multiple Agencies,Settlement
3.230233001708984375e+01,-1.068432331085205078e+01,Doe v. TransCor America (Sexual Assault),2002,Corrections Corporation of America,Human Rights,Civil,Non-Governmental,None,Settlement
-4.224642276763916016e+00,2.003359413146972656e+01,Environmental Violations at Littleton MA Facility,2014,Hewlett-Packard Company,Environment,N/A,State/Local,None,Fine
-3.427022552490234375e+01,2.346034240722656250e+01,Groundwater Cleanup Violation (at the Burbank area,2002,Lockheed Martin,Environment,Administrative,EPA,EPA,Fine
-3.987157821655273438e+01,-5.231799125671386719e+00,Violations of Classified Information Security Prog,2014,National Security Technologies LLC,Poor Contract Performance,Administrative,Energy,Energy,Fine
-1.702510643005371094e+01,1.250769233703613281e+01,Violations of Export Administration Regulations,1997,Dell Inc.,Import/Export,Administrative,Commerce,None,Fine
-4.672927474975585938e+01,2.695933151245117188e+01,Diesel Engine Manufacturer Clean Air Act Settlemen,1998,Navistar Defense LLC,Environment,Civil,EPA,None,Settlement
2.235620880126953125e+01,2.149823379516601562e+01,False Reimbursement Claims for Massachusetts Envir,2014,Royal Dutch Shell PLC,Cost/Labor Mischarge,Civil,State/Local,None,Settlement
1.005838012695312500e+01,1.284944629669189453e+01,Overstating Revenues on Canadian Contract,2018,KBR,Securities,Administrative,SEC,None,Settlement
-3.479967117309570312e+01,2.516041755676269531e+01,Violations of Toxic Substances Control Act,2001,University of California,Environment,Administrative,EPA,None,Fine
-3.167076110839843750e+01,8.457886695861816406e+00,Failure to Protect Employees from a Chemical Relea,2004,BP P.L.C.,Labor,Administrative,Labor - OSHA,None,Fine
1.883996391296386719e+01,-2.994801712036132812e+01,Risinger v. SOC LLC (Violations of Wage and Hour L,2011,Consolidated Nuclear Security LLC,Labor,Civil,Non-Governmental,None,Pending
-2.890130233764648438e+01,-2.006281852722167969e+01,Intelligence Contract Labor Mischarging (Oct. - De,2013,CACI International Inc.,Government Contract Fraud,N/A,ICIG,ODNI,Investigative Finding
2.569277763366699219e+01,-2.589552497863769531e+01,Bertoluzzi v. URS Corporation (Injury Compensation,2005,URS Corporation,Labor,Civil,Labor,None,Settlement
-7.263861596584320068e-02,-1.831093978881835938e+01,Overcharging on Afghanistan Food Supply Contract -,2014,Supreme Group Holding SARL,Government Contract Fraud,Civil,Non-Governmental,Defense - General,Settlement
-2.631344604492187500e+01,1.364490127563476562e+01,Anderson v. UPS (Disability Discrimination),2010,United Parcel Service Inc.,Labor,Administrative,State/Local,None,Judgment Against Defendant
-2.631138801574707031e+01,1.087385940551757812e+01,Wales Health and Safety Breaches,2008,BAE Systems,Labor,Administrative,International,None,Fine
-4.705110168457031250e+01,2.758795166015625000e+01,Red Lion PA Facility RCRA Violations,2010,General Dynamics,Environment,Civil,EPA,None,Settlement
-4.704528808593750000e+01,2.699778366088867188e+01,Baton Rouge Plant Toxic Chemical Releases,2009,Honeywell International Inc.,Environment,Civil,EPA,None,Settlement
-1.649408149719238281e+01,-9.879161834716796875e+00,Use and Possession of Military Passes with the Int,2006,DynCorp International Inc.,Ethics,Administrative,Defense - Army,Defense - Army,Suspend/Debar - Employee
1.714763259887695312e+01,-3.070331954956054688e+01,Mauldin v. Halliburton (Racial and Religious Discr,2008,Halliburton,Labor,Civil,Non-Governmental,None,Pending
-1.409583568572998047e+01,-1.050859165191650391e+01,Conspiracy to Defraud the Government While Oversee,2007,KBR,Government Contract Fraud,Criminal,Defense - Army,Defense - Army,Pleaded Guilty
2.468700790405273438e+01,2.632071304321289062e+01,New Jersey MTBE Lawsuit,2014,Valero Energy Corp.,Environment,Civil,State/Local,None,Settlement
2.351981544494628906e+01,1.599552726745605469e+01,Maryland Diabetes Drug Improper Marketing Lawsuit,2013,GlaxoSmithKline,Health,Civil,State/Local,None,Settlement
-1.764262771606445312e+01,1.020556068420410156e+01,Improper Communications Equipment Export,2003,Raytheon Company,Import/Export,Civil,State Dept.,None,Settlement
-2.890123176574707031e+01,-2.006166648864746094e+01,Intelligence Contract Labor Mischarging,2013,SAIC,Government Contract Fraud,N/A,ICIG,ODNI,Investigative Finding
-9.469597816467285156e+00,-1.768983840942382812e+01,False Marketing of Negative Pressure Wound Treatme,2017,Cardinal Health Inc.,Government Contract Fraud,Civil,Justice,Health and Human Services,Settlement
1.789334106445312500e+01,-3.136590576171875000e+01,Brainard v. Pratt & Whitney (Uniformed Services Em,2005,United Technologies Corporation,Labor,Civil,Non-Governmental,None,Settlement
5.010724663734436035e-01,-2.022341918945312500e+01,Improperly Obtaining Information to Win a Governme,1995,Harris Corporation,Government Contract Fraud,Civil,Homeland Security,Homeland Security,Settlement
3.039116096496582031e+01,-1.120773029327392578e+01,Al Shimari v. CACI (Abu Ghraib Prison Interrogatio,2008,CACI International Inc.,Human Rights,Civil,Non-Governmental,Defense - General,Pending
2.322318267822265625e+01,2.660132980346679688e+01,Village of Stillwater et al. v. General Electric (,2014,General Electric,Environment,Civil,State/Local,None,Settlement
2.489690017700195312e+01,2.670697784423828125e+01,Mississippi Commission on Environmental Quality Ti,2003,Northrop Grumman,Environment,Civil,State/Local,None,Settlement
-2.606747245788574219e+01,4.303381443023681641e+00,Hazardous Cutting Tool at Mobile AL Facility,2016,Austal USA LLC,Labor,N/A,Labor - OSHA,None,Fine
4.843531608581542969e+00,4.405307769775390625e+01,Mohr v. UnitedHealth Group (Overcharging for Presc,2016,UnitedHealth Group,Consumer Affairs,Civil,Non-Governmental,None,Pending
-6.757499694824218750e+00,2.400025844573974609e+00,Illegal Storage of Hazardous Waste in Illinois (Cr,2011,Honeywell International Inc.,Environment,Criminal,Justice,None,Pleaded Guilty
-1.222164916992187500e+01,-1.514728546142578125e+01,Alleged Hanford Site Small Business Subcontract Fr,2018,AECOM Technology Corporation Bechtel Corporation C,Government Contract Fraud,Civil,Justice,Energy,Settlement
-1.214916992187500000e+01,-2.218181037902832031e+01,False Claims on GSA Contract,2016,Deloitte LLP,Government Contract Fraud,Civil,Multiple Agencies,GSA,Settlement
9.569737434387207031e+00,-1.108815383911132812e+01,Engineering Solutions & Products v. CACI (Breach o,2013,CACI International Inc.,Poor Contract Performance,Civil,Non-Governmental,Non-Governmental,Settlement
-1.378814816474914551e+00,-2.179582595825195312e+01,LOGCAP III Supplies False Claims,2011,KBR,Government Contract Fraud,Civil,Non-Governmental,Defense - Army,Pending
-1.696952438354492188e+01,-1.896329307556152344e+01,Unauthorized Venting and Flaring of Gas in the Gul,2003,Royal Dutch Shell PLC,Environment,Civil,Interior,Interior,Settlement
3.142163038253784180e+00,4.408826065063476562e+01,Kazerouni v. FedEx (Unfair International Shipping ,2015,FedEx Corporation,Consumer Affairs,Civil,Non-Governmental,None,Pending
-3.942061233520507812e+01,-2.040206432342529297e+00,Radioactive/Nuclear Safety Deficiencies,1997,Fluor Corporation,Environment,Administrative,Energy,Energy,Fine
-9.425037503242492676e-01,1.188300251960754395e+00,Breach of Lease Agreement in Nigeria,2007,Royal Dutch Shell PLC,Environment,Civil,International,International,Judgment Against Defendant
5.072152614593505859e+00,4.465861892700195312e+01,Gokare P.C. et al. v. Federal Express (Customer Ov,2011,FedEx Corporation,Consumer Affairs,Civil,Non-Governmental,None,Settlement
